characteristic	 value	 user_id	 study_name	 
birthyear	1971	1039715	pinus.ybalab.qiat.sc2
ethnicityomb	2	1039715	pinus.ybalab.qiat.sc2
religionid	2	1039715	pinus.ybalab.qiat.sc2
genoccupation	25	1039715	pinus.ybalab.qiat.sc2
occupation	25-3000	1039715	pinus.ybalab.qiat.sc2
birthmonth	4	1039715	pinus.ybalab.qiat.sc2
major	4	1039715	pinus.ybalab.qiat.sc2
raceomb	6	1039715	pinus.ybalab.qiat.sc2
citizenship	de	1039715	pinus.ybalab.qiat.sc2
residence	de	1039715	pinus.ybalab.qiat.sc2
reldenom	evangelical lutheran	1039715	pinus.ybalab.qiat.sc2
sex	f	1039715	pinus.ybalab.qiat.sc2
relfamily	lutheran	1039715	pinus.ybalab.qiat.sc2
religion	protestant	1039715	pinus.ybalab.qiat.sc2
dayofbirth	.	9949749	pinus.ybalab.qiat.sc2
major	11	9949749	pinus.ybalab.qiat.sc2
birthyear	1945	9949749	pinus.ybalab.qiat.sc2
birthmonth	2	9949749	pinus.ybalab.qiat.sc2
ethnicityomb	2	9949749	pinus.ybalab.qiat.sc2
religionid	2	9949749	pinus.ybalab.qiat.sc2
politicalid	3	9949749	pinus.ybalab.qiat.sc2
raceomb	6	9949749	pinus.ybalab.qiat.sc2
education	9	9949749	pinus.ybalab.qiat.sc2
genoccupation	99-0001	9949749	pinus.ybalab.qiat.sc2
occupation	99-0001	9949749	pinus.ybalab.qiat.sc2
reldenom	american baptist association	9949749	pinus.ybalab.qiat.sc2
relfamily	baptist	9949749	pinus.ybalab.qiat.sc2
sex	f	9949749	pinus.ybalab.qiat.sc2
religion	protestant	9949749	pinus.ybalab.qiat.sc2
citizenship	us	9949749	pinus.ybalab.qiat.sc2
residence	us	9949749	pinus.ybalab.qiat.sc2
dayofbirth	.	9954583	pinus.ybalab.qiat.sc2
major	1	9954583	pinus.ybalab.qiat.sc2
genoccupation	11	9954583	pinus.ybalab.qiat.sc2
occupation	11-9000	9954583	pinus.ybalab.qiat.sc2
education	12	9954583	pinus.ybalab.qiat.sc2
birthyear	1958	9954583	pinus.ybalab.qiat.sc2
ethnicityomb	2	9954583	pinus.ybalab.qiat.sc2
politicalid	2	9954583	pinus.ybalab.qiat.sc2
religionid	2	9954583	pinus.ybalab.qiat.sc2
birthmonth	6	9954583	pinus.ybalab.qiat.sc2
raceomb	6	9954583	pinus.ybalab.qiat.sc2
religion	catholic	9954583	pinus.ybalab.qiat.sc2
sex	f	9954583	pinus.ybalab.qiat.sc2
relfamily	roman catholic	9954583	pinus.ybalab.qiat.sc2
residence	sm	9954583	pinus.ybalab.qiat.sc2
citizenship	us	9954583	pinus.ybalab.qiat.sc2
politicalid	-2	9957360	pinus.ybalab.qiat.sc2
dayofbirth	.	9957360	pinus.ybalab.qiat.sc2
genoccupation	17	9957360	pinus.ybalab.qiat.sc2
birthyear	1992	9957360	pinus.ybalab.qiat.sc2
ethnicityomb	2	9957360	pinus.ybalab.qiat.sc2
religionid	3	9957360	pinus.ybalab.qiat.sc2
birthmonth	4	9957360	pinus.ybalab.qiat.sc2
education	5	9957360	pinus.ybalab.qiat.sc2
major	6	9957360	pinus.ybalab.qiat.sc2
raceomb	6	9957360	pinus.ybalab.qiat.sc2
sex	m	9957360	pinus.ybalab.qiat.sc2
religion	protestant	9957360	pinus.ybalab.qiat.sc2
residence	sm	9957360	pinus.ybalab.qiat.sc2
citizenship	us	9957360	pinus.ybalab.qiat.sc2
politicalid	-2	9960131	pinus.ybalab.qiat.sc2
dayofbirth	.	9960131	pinus.ybalab.qiat.sc2
major	.	9960131	pinus.ybalab.qiat.sc2
relfamily	.	9960131	pinus.ybalab.qiat.sc2
birthmonth	1	9960131	pinus.ybalab.qiat.sc2
birthyear	1997	9960131	pinus.ybalab.qiat.sc2
genoccupation	25-9999	9960131	pinus.ybalab.qiat.sc2
occupation	25-9999	9960131	pinus.ybalab.qiat.sc2
ethnicityomb	3	9960131	pinus.ybalab.qiat.sc2
religionid	3	9960131	pinus.ybalab.qiat.sc2
education	4	9960131	pinus.ybalab.qiat.sc2
raceomb	6	9960131	pinus.ybalab.qiat.sc2
citizenship	de	9960131	pinus.ybalab.qiat.sc2
residence	de	9960131	pinus.ybalab.qiat.sc2
sex	m	9960131	pinus.ybalab.qiat.sc2
religion	protestant	9960131	pinus.ybalab.qiat.sc2
citizenship	.	9997148	pinus.ybalab.qiat.sc2
dayofbirth	.	9997148	pinus.ybalab.qiat.sc2
education	.	9997148	pinus.ybalab.qiat.sc2
ethnicityomb	.	9997148	pinus.ybalab.qiat.sc2
genoccupation	.	9997148	pinus.ybalab.qiat.sc2
major	.	9997148	pinus.ybalab.qiat.sc2
politicalid	.	9997148	pinus.ybalab.qiat.sc2
raceomb	.	9997148	pinus.ybalab.qiat.sc2
religion	.	9997148	pinus.ybalab.qiat.sc2
religionid	.	9997148	pinus.ybalab.qiat.sc2
residence	.	9997148	pinus.ybalab.qiat.sc2
birthmonth	10	9997148	pinus.ybalab.qiat.sc2
birthyear	1982	9997148	pinus.ybalab.qiat.sc2
sex	f	9997148	pinus.ybalab.qiat.sc2
dayofbirth	.	10002989	pinus.ybalab.qiat.sc2
politicalid	0	10002989	pinus.ybalab.qiat.sc2
major	11	10002989	pinus.ybalab.qiat.sc2
birthyear	1983	10002989	pinus.ybalab.qiat.sc2
ethnicityomb	3	10002989	pinus.ybalab.qiat.sc2
religionid	3	10002989	pinus.ybalab.qiat.sc2
genoccupation	41	10002989	pinus.ybalab.qiat.sc2
occupation	41-9000	10002989	pinus.ybalab.qiat.sc2
raceomb	5	10002989	pinus.ybalab.qiat.sc2
birthmonth	7	10002989	pinus.ybalab.qiat.sc2
education	9	10002989	pinus.ybalab.qiat.sc2
relfamily	baha'i	10002989	pinus.ybalab.qiat.sc2
sex	f	10002989	pinus.ybalab.qiat.sc2
citizenship	ie	10002989	pinus.ybalab.qiat.sc2
religion	otherrelig	10002989	pinus.ybalab.qiat.sc2
residence	uk	10002989	pinus.ybalab.qiat.sc2
dayofbirth	.	10015506	pinus.ybalab.qiat.sc2
religionid	1	10015506	pinus.ybalab.qiat.sc2
education	10	10015506	pinus.ybalab.qiat.sc2
birthyear	1965	10015506	pinus.ybalab.qiat.sc2
birthmonth	2	10015506	pinus.ybalab.qiat.sc2
ethnicityomb	2	10015506	pinus.ybalab.qiat.sc2
genoccupation	23	10015506	pinus.ybalab.qiat.sc2
occupation	23-1000	10015506	pinus.ybalab.qiat.sc2
politicalid	3	10015506	pinus.ybalab.qiat.sc2
raceomb	6	10015506	pinus.ybalab.qiat.sc2
major	9	10015506	pinus.ybalab.qiat.sc2
sex	f	10015506	pinus.ybalab.qiat.sc2
religion	none	10015506	pinus.ybalab.qiat.sc2
relfamily	other non-religious	10015506	pinus.ybalab.qiat.sc2
residence	sm	10015506	pinus.ybalab.qiat.sc2
citizenship	us	10015506	pinus.ybalab.qiat.sc2
dayofbirth	.	10019931	pinus.ybalab.qiat.sc2
major	13	10019931	pinus.ybalab.qiat.sc2
birthyear	1971	10019931	pinus.ybalab.qiat.sc2
ethnicityomb	2	10019931	pinus.ybalab.qiat.sc2
religionid	2	10019931	pinus.ybalab.qiat.sc2
genoccupation	21	10019931	pinus.ybalab.qiat.sc2
occupation	21-9999	10019931	pinus.ybalab.qiat.sc2
politicalid	3	10019931	pinus.ybalab.qiat.sc2
raceomb	6	10019931	pinus.ybalab.qiat.sc2
birthmonth	9	10019931	pinus.ybalab.qiat.sc2
education	9	10019931	pinus.ybalab.qiat.sc2
sex	f	10019931	pinus.ybalab.qiat.sc2
religion	otherrelig	10019931	pinus.ybalab.qiat.sc2
residence	sm	10019931	pinus.ybalab.qiat.sc2
relfamily	unitarian-universalist	10019931	pinus.ybalab.qiat.sc2
citizenship	us	10019931	pinus.ybalab.qiat.sc2
dayofbirth	.	10059484	pinus.ybalab.qiat.sc2
politicalid	1	10059484	pinus.ybalab.qiat.sc2
birthyear	1950	10059484	pinus.ybalab.qiat.sc2
ethnicityomb	2	10059484	pinus.ybalab.qiat.sc2
religionid	3	10059484	pinus.ybalab.qiat.sc2
genoccupation	43	10059484	pinus.ybalab.qiat.sc2
occupation	43-6000	10059484	pinus.ybalab.qiat.sc2
major	5	10059484	pinus.ybalab.qiat.sc2
raceomb	6	10059484	pinus.ybalab.qiat.sc2
birthmonth	7	10059484	pinus.ybalab.qiat.sc2
education	7	10059484	pinus.ybalab.qiat.sc2
relfamily	baptist	10059484	pinus.ybalab.qiat.sc2
reldenom	baptist: don't know which	10059484	pinus.ybalab.qiat.sc2
sex	f	10059484	pinus.ybalab.qiat.sc2
religion	protestant	10059484	pinus.ybalab.qiat.sc2
citizenship	us	10059484	pinus.ybalab.qiat.sc2
residence	us	10059484	pinus.ybalab.qiat.sc2
dayofbirth	.	10092195	pinus.ybalab.qiat.sc2
politicalid	1	10092195	pinus.ybalab.qiat.sc2
birthyear	1989	10092195	pinus.ybalab.qiat.sc2
ethnicityomb	2	10092195	pinus.ybalab.qiat.sc2
major	2	10092195	pinus.ybalab.qiat.sc2
religionid	3	10092195	pinus.ybalab.qiat.sc2
education	6	10092195	pinus.ybalab.qiat.sc2
raceomb	6	10092195	pinus.ybalab.qiat.sc2
birthmonth	9	10092195	pinus.ybalab.qiat.sc2
genoccupation	99-9999	10092195	pinus.ybalab.qiat.sc2
occupation	99-9999	10092195	pinus.ybalab.qiat.sc2
relfamily	baptist	10092195	pinus.ybalab.qiat.sc2
reldenom	baptist: don't know which	10092195	pinus.ybalab.qiat.sc2
sex	m	10092195	pinus.ybalab.qiat.sc2
religion	protestant	10092195	pinus.ybalab.qiat.sc2
residence	sm	10092195	pinus.ybalab.qiat.sc2
citizenship	us	10092195	pinus.ybalab.qiat.sc2
dayofbirth	.	10105577	pinus.ybalab.qiat.sc2
religionid	1	10105577	pinus.ybalab.qiat.sc2
major	11	10105577	pinus.ybalab.qiat.sc2
birthyear	1993	10105577	pinus.ybalab.qiat.sc2
ethnicityomb	2	10105577	pinus.ybalab.qiat.sc2
genoccupation	25-9999	10105577	pinus.ybalab.qiat.sc2
occupation	25-9999	10105577	pinus.ybalab.qiat.sc2
birthmonth	3	10105577	pinus.ybalab.qiat.sc2
politicalid	3	10105577	pinus.ybalab.qiat.sc2
education	5	10105577	pinus.ybalab.qiat.sc2
raceomb	6	10105577	pinus.ybalab.qiat.sc2
relfamily	deist	10105577	pinus.ybalab.qiat.sc2
sex	f	10105577	pinus.ybalab.qiat.sc2
religion	none	10105577	pinus.ybalab.qiat.sc2
residence	sm	10105577	pinus.ybalab.qiat.sc2
citizenship	us	10105577	pinus.ybalab.qiat.sc2
dayofbirth	.	10113744	pinus.ybalab.qiat.sc2
religionid	1	10113744	pinus.ybalab.qiat.sc2
birthyear	1980	10113744	pinus.ybalab.qiat.sc2
birthmonth	2	10113744	pinus.ybalab.qiat.sc2
ethnicityomb	2	10113744	pinus.ybalab.qiat.sc2
major	2	10113744	pinus.ybalab.qiat.sc2
politicalid	2	10113744	pinus.ybalab.qiat.sc2
genoccupation	33	10113744	pinus.ybalab.qiat.sc2
occupation	33-2000	10113744	pinus.ybalab.qiat.sc2
raceomb	6	10113744	pinus.ybalab.qiat.sc2
education	7	10113744	pinus.ybalab.qiat.sc2
sex	m	10113744	pinus.ybalab.qiat.sc2
religion	none	10113744	pinus.ybalab.qiat.sc2
relfamily	other non-religious	10113744	pinus.ybalab.qiat.sc2
citizenship	us	10113744	pinus.ybalab.qiat.sc2
residence	us	10113744	pinus.ybalab.qiat.sc2
dayofbirth	.	10148185	pinus.ybalab.qiat.sc2
politicalid	0	10148185	pinus.ybalab.qiat.sc2
genoccupation	11	10148185	pinus.ybalab.qiat.sc2
occupation	11-9000	10148185	pinus.ybalab.qiat.sc2
birthyear	1992	10148185	pinus.ybalab.qiat.sc2
ethnicityomb	2	10148185	pinus.ybalab.qiat.sc2
religionid	2	10148185	pinus.ybalab.qiat.sc2
raceomb	6	10148185	pinus.ybalab.qiat.sc2
birthmonth	7	10148185	pinus.ybalab.qiat.sc2
education	7	10148185	pinus.ybalab.qiat.sc2
major	8	10148185	pinus.ybalab.qiat.sc2
sex	f	10148185	pinus.ybalab.qiat.sc2
religion	none	10148185	pinus.ybalab.qiat.sc2
residence	sm	10148185	pinus.ybalab.qiat.sc2
relfamily	spiritual, no organized religion	10148185	pinus.ybalab.qiat.sc2
citizenship	uk	10148185	pinus.ybalab.qiat.sc2
dayofbirth	.	10165862	pinus.ybalab.qiat.sc2
relfamily	.	10165862	pinus.ybalab.qiat.sc2
politicalid	0	10165862	pinus.ybalab.qiat.sc2
major	10	10165862	pinus.ybalab.qiat.sc2
birthyear	1972	10165862	pinus.ybalab.qiat.sc2
genoccupation	25-9999	10165862	pinus.ybalab.qiat.sc2
ethnicityomb	3	10165862	pinus.ybalab.qiat.sc2
religionid	3	10165862	pinus.ybalab.qiat.sc2
birthmonth	5	10165862	pinus.ybalab.qiat.sc2
education	5	10165862	pinus.ybalab.qiat.sc2
raceomb	6	10165862	pinus.ybalab.qiat.sc2
religion	catholic	10165862	pinus.ybalab.qiat.sc2
sex	m	10165862	pinus.ybalab.qiat.sc2
residence	sm	10165862	pinus.ybalab.qiat.sc2
citizenship	us	10165862	pinus.ybalab.qiat.sc2
dayofbirth	.	10174440	pinus.ybalab.qiat.sc2
relfamily	.	10174440	pinus.ybalab.qiat.sc2
religionid	1	10174440	pinus.ybalab.qiat.sc2
genoccupation	11	10174440	pinus.ybalab.qiat.sc2
birthmonth	12	10174440	pinus.ybalab.qiat.sc2
education	14	10174440	pinus.ybalab.qiat.sc2
birthyear	1966	10174440	pinus.ybalab.qiat.sc2
ethnicityomb	2	10174440	pinus.ybalab.qiat.sc2
major	2	10174440	pinus.ybalab.qiat.sc2
politicalid	2	10174440	pinus.ybalab.qiat.sc2
raceomb	6	10174440	pinus.ybalab.qiat.sc2
citizenship	fi	10174440	pinus.ybalab.qiat.sc2
sex	m	10174440	pinus.ybalab.qiat.sc2
religion	none	10174440	pinus.ybalab.qiat.sc2
residence	sm	10174440	pinus.ybalab.qiat.sc2
dayofbirth	.	10178446	pinus.ybalab.qiat.sc2
relfamily	.	10178446	pinus.ybalab.qiat.sc2
birthyear	1973	10178446	pinus.ybalab.qiat.sc2
ethnicityomb	2	10178446	pinus.ybalab.qiat.sc2
