"","session_id","female","part1id","wave"
"102",10551952,"0","125","2"
"103",10551958,"1","128","2"
"104",10553111,"1","R_3Olf0UQczNBqV3T","2"
"105",10554684,"1","R_PGHWOMGQsvXODap","2"
"106",10556654,"1","R_1g5EIsbmzXBWTi6","2"
"107",10556770,"1","R_1g5EIsbmzXBWTi6","2"
"108",10558238,"1","R_1cYRnIJZEgKAbTC","2"
"109",10558655,"1","R_DH4ay21wikLoLyV","2"
"110",10558754,"1","R_1rvOzwgNprwZPBm","2"
"111",10559286,"1","R_3rU8mjyanXWshGa","2"
"112",10559389,"0","130","2"
"113",10560555,"1","132","1"
"114",10560565,"0","133","1"
"115",10560616,"1","135","1"
"116",10560619,"0","134","1"
"117",10560652,"1","136","1"
"118",10560661,"1","137","1"
"119",10560707,"1","139","1"
"120",10560731,"1","138","1"
"121",10560882,"1","131","2"
"122",10562842,"1","R_D6KN1Ds8peOCS8F","2"
"123",10565025,"0","141","1"
"124",10565033,"1","140","1"
"125",10565095,"1","142","1"
"126",10565149,"0","143","1"
"127",10565188,"1","144","1"
"128",10567254,"1","145","1"
"129",10567262,"0","146","1"
"130",10567348,"0","147","1"
"131",10567366,"0","148","1"
"132",10572893,"1","132","2"
"133",10572894,"1","136","2"
"134",10572910,"1","138","2"
"135",10572916,"1","137","2"
"136",10572933,"0","134","2"
"137",10572937,"0","133","2"
"138",10572954,"1","135","2"
"139",10572955,"1","139","2"
"140",10572988,"1","R_42vMpOctScB4u53","1"
"141",10576844,"0","141","2"
"142",10576853,"1","142","2"
"143",10576891,"1","144","2"
"144",10576915,"0","143","2"
"145",10576918,"1","140","2"
"146",10577103,"1","150","1"
"147",10577129,"0","151","1"
"148",10577240,"0","152","1"
"149",10578649,"1","145","2"
"150",10578683,"0","146","2"
"151",10578684,"0","147","2"
"152",10578704,"0","148","2"
"153",10583205,"0","R_2azaqM5t7NTeN2c","1"
"154",10583354,"1","R_42vMpOctScB4u53","2"
"155",10583589,"1","R_3Gp4fhwWeG2I3kK","1"
"156",10583842,"1","R_12ng2oBGHQDAF86","1"
"157",10584079,"0","R_1JWozbLPj3DuiRE","1"
"158",10584383,"0","R_1MPWju2sXBGPdao","1"
"159",10585275,"1","R_3EnxWcdqME9XjMI","1"
"160",10587275,"0","151","2"
"161",10587309,"0","152","2"
"162",10587324,"1","150","2"
"163",10589015,"0","R_3hAyJANYCBJNZYz","1"
"164",10589032,"1","R_SCwoxukjbXB7ssN","1"
"165",10589605,"1","R_2A0BM1eOjGqFJnJ","1"
"166",10592420,"0","R_2azaqM5t7NTeN2c","2"
"167",10592439,"0","R_2azaqM5t7NTeN2c","2"
"168",10593878,"1","R_12ng2oBGHQDAF86","2"
"169",10594061,"1","R_3Gp4fhwWeG2I3kK","2"
"170",10594186,"0","R_1MPWju2sXBGPdao","2"
"171",10594295,"1","R_12ng2oBGHQDAF86","2"
"172",10594607,"0","R_1JWozbLPj3DuiRE","2"
"173",10595859,"1","R_3EnxWcdqME9XjMI","2"
"174",10597767,"1","R_3qBXpXADqzYTA0s","1"
"175",10598767,"0","R_9Bo2wFlu9JOlP21","1"
"176",10599599,"1","R_2aeRrToneU5xubr","1"
"177",10599831,"1","R_2A0BM1eOjGqFJnJ","2"
"178",10600387,"1","R_SCwoxukjbXB7ssN","2"
"179",10609310,"0","R_9Bo2wFlu9JOlP21","2"
"180",10610980,"1","R_2aeRrToneU5xubr","2"
"181",10611021,"1","R_2aeRrToneU5xubr","2"
"182",10613835,"1","R_2QEtjXWrXT9HnSP","1"
"183",10624206,"1","R_2QEtjXWrXT9HnSP","2"
"184",10626908,"1","R_1FbnT9bvaVwRZKs","1"
"185",10632367,"1","R_1FzU0OFsoQYinGQ","1"
"186",10634249,"1","R_3nBLqcTV6UnS9kI","1"
"187",10634726,"1","R_6ygaXJFwxWtTNex","1"
"188",10637507,"1","R_1FbnT9bvaVwRZKs","2"
"189",10641298,"0","R_ZDHHDS3H9TC0CHv","1"
"190",10642309,"1","R_1FzU0OFsoQYinGQ","2"
"191",10644561,"1","R_3nBLqcTV6UnS9kI","2"
"192",10645187,"1","R_6ygaXJFwxWtTNex","2"
"193",10645950,"1","R_2cC2Pt1a3ksDoz4","1"
"194",10646275,"0","R_10NaoJ3h5kQRvif","1"
"195",10646384,"0","R_2xSsrLQsCYIwHwf","1"
"196",10646681,"0","R_Dwa88SkXjk0SEYF","1"
"197",10646728,"1","R_2WuK3A6UcbV2Wbl","1"
"198",10646867,"1","R_3mZzh4r4yN0Cowh","1"
"199",10650725,"0","R_ZDHHDS3H9TC0CHv","2"
"200",10657181,"1","R_2WuK3A6UcbV2Wbl","2"
"201",10657258,"1","R_2cC2Pt1a3ksDoz4","2"
"202",10657451,"0","R_10NaoJ3h5kQRvif","2"
"203",10657529,"0","R_10NaoJ3h5kQRvif","2"
"204",10657562,"0","R_2xSsrLQsCYIwHwf","2"
"205",10657956,"0","R_Dwa88SkXjk0SEYF","2"
"206",10658164,"1","R_3mZzh4r4yN0Cowh","2"
"207",10658311,"0","R_1KkhqLSee8SCpvR","1"
"208",10658321,"0","R_tDtEAuu8yZ1ki3f","1"
"209",10659019,"0","R_2QDUbitFHwNmN3p","1"
"210",10663088,"1","R_qCPqgTQL6O36Ksx","1"
"211",10663129,"1","R_3nDcGF4Z9Bm2oXk","1"
"212",10663237,"1","R_tWc5D8FnW8xoBDb","1"
"213",10663276,"0","R_30ehWCOpdeLvbPR","1"
"214",10663498,"0","R_1pKXDhXwXggLxNW","1"
"215",10669475,"1","R_2DN7b9WnoN2DXea","1"
"216",10670555,"1","R_3qVzBNAwSuzsDiC","1"
"217",10670596,"1","R_2v1FUXGi2wbbuZg","1"
"218",10672339,"2","R_qCPqgTQL6O36Ksx","2"
"219",10674365,"1","R_3nDcGF4Z9Bm2oXk","2"
"220",10674376,"1","R_tWc5D8FnW8xoBDb","2"
"221",10674406,"0","R_1pKXDhXwXggLxNW","2"
"222",10674432,"0","R_30ehWCOpdeLvbPR","2"
"223",10681265,"1","R_2DN7b9WnoN2DXea","2"
"224",10682509,"0","R_2rV3DZf73yrVTUB","1"
"225",10682556,"0","R_eIGNTPvFIycymWd","1"
"226",10682571,"0","R_2QfyE5ao30lxeF9","1"
"227",10682651,"1","R_2v1FUXGi2wbbuZg","2"
"228",10682709,"1","R_2taupMsmjH2Akrd","1"
"229",10682808,"0","R_1dsPzFD31sgxLPP","1"
"230",10682860,"0","R_yVzoY3jgHwOoaBz","1"
"231",10683284,"0","R_30jwMVRKXQn7LdU","1"
"232",10684799,"1","R_2Ec2GQyt65m96Wv","1"
"233",10692078,"1","R_2OTEtyKVfzvsjt5","1"
"234",10692092,"0","R_1QymZP72pLri25d","1"
"235",10692688,"0","R_3eldqxPzbA1yMEN","1"
"236",10694243,"1","R_1CJ7XwqJSODMQsF","1"
"237",10694266,"1","R_1kIz10700ugrMKJ","1"
"238",10694280,"1","R_2taupMsmjH2Akrd","2"
"239",10694331,"0","R_yVzoY3jgHwOoaBz","2"
"240",10694415,"0","R_eIGNTPvFIycymWd","2"
"241",10694462,"0","R_2rV3DZf73yrVTUB","2"
"242",10694699,"0","R_1dsPzFD31sgxLPP","2"
"243",10694925,"0","R_30jwMVRKXQn7LdU","2"
"244",10697516,"1","R_2Ec2GQyt65m96Wv","2"
"245",10702785,"1","R_2xPMuhAJ76EErDt","2"
"246",10710423,"0","R_3eldqxPzbA1yMEN","2"
"247",10710441,"0","R_1QymZP72pLri25d","2"
"248",10710615,"1","R_2OTEtyKVfzvsjt5","2"
"249",10710710,"1","R_1CJ7XwqJSODMQsF","2"
"250",10710806,"1","R_1CJ7XwqJSODMQsF","2"
"251",10712012,"1","R_1CJ7XwqJSODMQsF","2"
"252",10712549,"1","R_1CJ7XwqJSODMQsF","2"
"253",10948075,"1","152","1"
"254",10948122,"1","154","1"
"255",10948126,"1","155","1"
"256",10951598,"1","158","1"
"257",10951643,"1","157","1"
"258",10956924,"0","159","1"
"259",10956927,"1","160","1"
"260",10958371,"1","161","1"
"261",10958383,"1","162","1"
"262",10958409,"1","163","1"
"263",10958415,"1","164","1"
"264",10958624,"1","165","1"
"265",10958656,"1","166","1"
"266",10963483,"1","167","1"
"267",10963493,"1","168","1"
"268",10963528,"1","154","2"
"269",10963535,"1","152","2"
"270",10963554,"1","155","2"
"271",10963583,"0","170","1"
"272",10963610,"1","169","1"
"273",10965904,"1","157","2"
"274",10965910,"1","158","2"
"275",10966055,"1","171","1"
"276",10966071,"0","172","1"
"277",10971950,"1","162","2"
"278",10971951,"1","161","2"
"279",10971957,"1","164","2"
"280",10971962,"1","163","2"
"281",10971977,"1","173","1"
"282",10971986,"1","160","2"
"283",10971988,"1","174","1"
"284",10972113,"1","166","2"
"285",10972123,"1","165","2"
"286",10972170,"1","176","1"
"287",10972239,"1","175","1"
"288",10975665,"1","167","2"
"289",10975670,"1","168","2"
"290",10975698,"0","159","2"
"291",10975704,"1","178","1"
"292",10975712,"1","177","1"
"293",10975734,"0","170","2"
"294",10975768,"1","179","1"
"295",10975770,"1","180","1"
"296",10977665,"0","181","1"
"297",10977675,"1","182","1"
"298",10977708,"1","184","1"
"299",10977709,"0","183","1"
"300",10977728,"1","171","2"
"301",10977735,"0","172","2"
"302",10982622,"1","186","1"
"303",10982624,"1","185","1"
"304",10982659,"1","174","2"
"305",10982661,"1","173","2"
"306",10982858,"1","175","2"
"307",10982863,"1","176","2"
"308",10982924,"1","187","1"
"309",10982956,"1","187","1"
"310",10984311,"1","189","1"
"311",10984319,"1","190","1"
"312",10985317,"1","177","2"
"313",10985324,"1","178","2"
"314",10985338,"1","180","2"
"315",10985339,"1","179","2"
"316",10985359,"1","191","1"
"317",10985361,"1","192","1"
"318",10985393,"1","193","1"
"319",10985400,"1","194","1"
"320",10986527,"0","181","2"
"321",10986528,"1","184","2"
"322",10986541,"1","182","2"
"323",10986545,"0","183","2"
"324",10986564,"1","195","1"
"325",10986568,"0","196","1"
"326",10986585,"1","198","1"
"327",10986590,"1","197","1"
"328",10989943,"1","194","2"
"329",10989947,"1","191","2"
"330",10989962,"1","193","2"
"331",10989966,"1","192","2"
"332",10989982,"1","200","1"
"333",10989985,"1","199","1"
"334",10989995,"1","201","1"
"335",10990001,"1","202","1"
"336",10990591,"1","197","2"
"337",10990592,"0","196","2"
"338",10990610,"1","198","2"
"339",10990611,"1","195","2"
"340",10990623,"1","204","1"
"341",10992883,"0","205","1"
"342",10993457,"1","207","1"
"343",10993460,"1","203","1"
"344",10993464,"1","206","1"
"345",10993469,"0","208","1"
"346",10993490,"1","209","1"
"347",10993521,"1","210","1"
"348",10994486,"1","202","2"
"349",10994490,"1","199","2"
"350",10994501,"1","201","2"
"351",10994503,"1","200","2"
"352",10994525,"1","211","1"
"353",10994526,"1","212","1"
"354",10994557,"1","213","1"
"355",10995659,"1","204","2"
"356",10995680,"1","214","1"
"357",10995744,"1","215","1"
"358",10998806,"0","205","2"
"359",10999551,"1","207","2"
"360",10999553,"1","206","2"
"361",10999554,"1","203","2"
"362",10999573,"0","208","2"
"363",10999575,"1","209","2"
"364",10999596,"1","210","2"
"365",11003339,"1","212","2"
"366",11003342,"1","211","2"
"367",11003398,"1","213","2"
"368",11146178,"1","216","1"
"369",11146258,"1","217","1"
"370",11146408,"0","218","1"
"371",11151745,"1","219","1"
"372",11151778,"1","220","1"
"373",11151825,"1","221","1"
"374",11151924,"0","222","1"
"375",11164412,"1","216","2"
"376",11164535,"1","217","2"
"377",11164610,"0","218","2"
"378",11167567,"1","223","1"
"379",11167736,"1","224","1"
"380",11167845,"0","225","1"
"381",11168019,"1","226","1"
"382",11170434,"0","227","1"
"383",11173689,"1","220","2"
"384",11173767,"1","219","2"
"385",11173784,"1","221","2"
"386",11173822,"0","222","2"
"387",11192555,"0","225","2"
"388",11192568,"1","223","2"
"389",11192629,"1","224","2"
"390",11192649,"0","227","2"
"391",11192674,"1","226","2"
"392",11208995,"1","228","1"
"393",11209055,"1","229","1"
"394",11209104,"1","230","1"
"395",11209231,"1","231","1"
"396",11209426,"1","232","1"
"397",11209754,"0","233","1"
"398",11228087,"1","232","2"
"399",11228120,"1","230","2"
"400",11228146,"0","233","2"
"401",11228150,"1","229","2"
"402",11228204,"1","231","2"
"403",11260998,"1","234","1"
"404",11261045,"1","235","1"
"405",11261049,"1","236","1"
"406",11276400,"1","234","2"
"407",11276410,"1","235","2"
"408",11276417,"1","236","2"
