"","session_id","rsesQ04rt","rsesQ04","rsesQ01rt","rsesQ01","rsesQ06rt","rsesQ06","rsesQ10rt","rsesQ10","rsesQ02rt","rsesQ02","rsesQ08rt","rsesQ08","rsesQ05rt","rsesQ05","rsesQ09rt","rsesQ09","rsesQ03rt","rsesQ03","rsesQ07rt","rsesQ07","deqQ06rt","deqQ06","deqQ05rt","deqQ05","deqQ02rt","deqQ02","deqQ03rt","deqQ03","deqQ01","deqQ01rt","deqQ04","deqQ04rt","sdsQ1rt","sdsQ1","sdsQ13rt","sdsQ13","sdsQ3","sdsQ3rt","sdsQ9","sdsQ9rt","sdsQ5rt","sdsQ5","sdsQ2rt","sdsQ2","sdsQ15","sdsQ15rt","sdsQ4rt","sdsQ4","cesdQ03rt","cesdQ03","cesdQ04rt","cesdQ04","cesdQ02rt","cesdQ02","cesdQ01rt","cesdQ01","cesdQ05","cesdQ05rt","cesdScore","sdsQ7rt","sdsQ7","sdsQ16rt","sdsQ16","sdsQ10rt","sdsQ10","sdsQ6","sdsQ6rt","sdsQ14rt","sdsQ14","sdsQ8rt","sdsQ8","sdsQ11rt","sdsQ11","sdsQ12rt","sdsQ12","rsesQ02r","rsesQ05r","rsesQ06r","rsesQ08r","rsesQ09r","rses","deq6","sdsQ1r","sdsQ2r","sdsQ3r","sdsQ6r","sdsQ7r","sdsQ8r","sdsQ10r","sdsQ11r","sdsQ12r","sdsQ14r","sds"
"14",9851716,10565,3,2903,3,6552,4,4368,3,4200,2,21152,2,3266,2,9509,2,3784,4,9048,2,4631,2,4334,4,4917,2,4568,2,3,3816,2,8564,4151,1,,,,,1,2601,10418,1,,,2,6846,2769,2,5419,1,4535,1,7494,1,6534,1,1,6486,0,6869,2,,,4115,1,,,,,4197,1,,,,,3,3,1,3,3,2.8,2.5,2,,,,1,2,2,,,,1.625
"15",9851723,2877,3,3473,4,3734,1,5651,4,2548,1,3348,1,7155,1,3032,1,2913,4,4298,4,6593,3,7124,2,4366,3,3797,1,2,474671,3,3589,,,,,,,,,4341,2,,,2,4145,4528,1,1955,1,1806,1,6262,1,5421,1,1,2725,0,2566,1,,,58345667,2,,,3157,2,,,4037,1,3580,2,4,4,4,4,4,3.9,2.33333333333333,,,,,2,,1,2,1,1,1.5
"16",9851749,3334,4,8086,3,4574,2,3132,3,3267,2,6439,2,2593,2,5144,2,2762,4,4033,4,4411,4,6477,4,4060,3,3767,2,3,3484,3,3202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3.3,3.16666666666667,,,,,,,,,,,
"17",9851806,4866,3,3936,3,5476,2,3250,3,3499,2,5003,2,4947,1,4860,1,3775,4,5779,4,1642,3,4026,2,11481,3,4314,2,3,6270,2,3510,,,4741,1,2,5054,1,8787,6013,2,,,,,,,3235,1,5271,3,11648,4,6263,1,2,5200,5,,,,,13938,2,,,2517,2,,,3598,2,4211,2,3,4,3,3,4,3.4,2.5,,,1,,,,1,1,1,1,1.125
"18",9851818,4145,2,2826,3,6188,2,2905,3,8067,2,3083,2,9640,2,4189,2,3924,3,6205,3,5103,3,7881,3,7289,2,3681,2,3,6467,2,5495,6408,2,12869,1,1,4928,,,,,,,,,,,5889,1,2883,2,4541,1,4303,2,1,4078,2,,,2873,1,5249,2,1,8765,,,5191,1,6033,1,,,3,3,3,3,3,2.9,2.5,1,,2,2,,2,1,2,,,1.5
"19",9851841,2740,3,1719,3,4181,3,2122,3,3846,3,2917,2,2518,2,3568,1,3091,3,2745,3,7693,3,1993,2,4921,3,2170,2,2,2653,3,4163,,,3763,1,,,1,3035,3027,2,3111,2,,,3082,1,3564,1,3168,1,2643,1,4204,1,1,3005,0,2688,1,,,2717,1,1,2929,,,,,,,,,2,3,2,3,4,2.9,2.5,,1,,2,2,,2,,,,1.5
"20",9851856,3224,3,2307,3,5291,3,3698,3,5735,3,3233,3,2847,2,4694,2,2253,3,2942,3,4463,3,2247,4,3543,3,3932,2,4,3087,3,2864,2710,1,,,,,,,2768,1,,,2,6146,5130,1,8142,1,2053,2,1772,2,2835,2,2,2231,3,2414,1,,,19949,1,,,,,,,2663,1,5578,2,2,3,2,2,3,2.7,3.16666666666667,2,,,,2,,2,2,1,,1.625
"21",9851864,5406,3,3295,3,4952,2,3124,3,4348,1,3922,3,15324,2,5955,1,6860,4,5437,3,22006,3,5082,2,7015,2,8311,2,2,8986,3,29647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,2,4,3.2,2.33333333333333,,,,,,,,,,,
"22",9851871,2862,4,3315,4,5439,4,2428,4,2980,1,4152,1,2947,1,5361,1,2055,4,4090,4,6533,1,2151,4,5798,2,5013,4,1,3789,3,4980,3737,2,,,,,1,3058,,,,,1,5442,3644,1,5941,1,3284,2,3278,3,3943,1,3,5454,3,,,2291,1,4087,2,2,4952,,,,,,,6532,1,4,4,1,4,4,3.7,2.5,1,,,1,,,1,,2,,1.125
"23",9851931,4661,3,2549,3,2778,4,3152,2,3212,4,2926,4,3736,3,4034,3,2944,3,13345,3,6447,4,3283,4,4890,4,4486,3,4,18808,4,2411,,,,,2,6726,1,3616,4196,2,6661,1,,,,,8432,1,1610,4,6488,3,2928,4,3,3856,8,,,,,5424,2,,,2715,2,,,5716,1,4038,2,1,2,1,1,2,2.1,3.83333333333333,,2,1,,,,1,2,1,1,1.375
"24",9851949,9155,3,4351,3,4697,2,2697,3,4937,2,3476,2,3111,2,5293,1,2785,3,4663,3,5545,2,8108,4,4701,3,8503,2,3,5699,2,5530,6772,2,,,,,,,,,2702,2,1,3780,3222,1,5699,1,18419,1,5054,1,2737,1,1,4269,0,5514,2,,,,,2,4142,,,3877,1,,,3597,2,3,3,3,3,4,3.1,2.66666666666667,1,1,,1,1,2,,,1,,1.125
"25",9851979,3029,4,2307,4,4085,2,2523,4,6121,2,8130,2,2758,1,4408,1,4418,4,4609,4,4914,4,5066,4,6681,2,2915,2,3,4463,3,4095,,,5062,1,2,3914,1,5054,,,,,2,4862,,,2050,1,2666,1,5604,2,3312,1,1,2770,1,3180,1,2615,2,,,,,,,,,4553,2,4231,1,3,4,3,3,4,3.7,3,,,1,,2,,,1,2,,1.5
"26",9851985,4941,4,5837,3,6269,1,3637,4,4242,1,11832,2,5962,1,9600,1,2816,4,8774,3,12758,3,4777,3,15088,3,23176,2,2,12870,4,7336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,3,4,3.7,2.83333333333333,,,,,,,,,,,
"27",9852004,4645,4,3969,4,4474,1,3900,4,7790,1,31976,,11473,2,6881,1,3720,4,8249,4,7638,3,8811,1,10173,3,4671,3,2,6365,1,7076,,,5723,1,,,,,,,8955,2,,,,,17406,1,8484,1,4331,1,6307,1,3,12975,0,,,10466,2,4163,1,1,4906,3259,2,6700,1,,,4067,1,4,3,4,,4,3.88888888888889,2.16666666666667,,1,,2,,2,2,,2,1,1.625
"28",9852097,4779,3,2568,3,2925,3,2300,3,5615,2,4098,3,3774,2,4905,2,6681,3,13422,3,6631,3,3461,3,12912,3,6434,2,2,5057,3,5896,9320,2,,,,,1,4515,,,5473,2,,,,,2930,1,5690,2,28806,1,3877,1,1,3096,1,,,3095,2,7173,1,2,5789,2813,1,,,7094,2,,,3,3,2,2,3,2.8,2.66666666666667,1,1,,1,,,2,1,,2,1.375
"29",9852101,13532,3,2542,2,6896,3,3316,2,4585,3,5005,2,5941,3,6490,2,3855,2,11210,3,4335,2,11376,2,8514,3,4290,2,3,6611,2,14253,22764,1,10612,2,,,,,5531,2,,,1,19966,5597,1,6226,1,6696,3,3382,1,3917,2,1,3917,3,,,,,6760,2,1,3829,,,6728,1,,,,,2,2,2,3,3,2.4,2.33333333333333,2,,,2,,2,1,,,,1.625
"30",9852113,4881,4,4450,3,7735,1,3174,3,3319,1,4482,2,4774,2,5177,1,11521,3,6006,4,4939,3,3446,3,5739,2,7327,2,2,4867,3,5285,,,,,,,,,,,3520,2,,,12684,1,14096,2,5141,1,7864,2,5527,1,2,12763,2,,,5080,2,19398,2,2,4058,3068,2,12889,2,,,6642,2,4,3,4,3,4,3.5,2.5,,1,,1,,1,1,,1,1,1.125
"31",9852132,5034,3,2992,3,5411,1,3615,2,3901,2,3409,2,4977,2,3254,2,6546,4,5473,4,5311,4,2812,4,6387,3,7556,2,2,6280,4,3511,,,7088,1,2,3234,,,,,7313,2,,,3312,1,4988,1,6704,2,7565,1,6903,1,2,4632,1,,,2965,2,,,2,3710,,,4768,1,,,4262,2,3,3,4,3,3,3.2,3.16666666666667,,1,1,1,,2,,,1,,1.25
"32",9852149,7042,3,5061,4,103179,1,105882,4,3715,1,4759,1,4643,1,8569,1,9048,4,56433,4,5945,1,4174,1,35418,2,5727,4,1,8326,1,3219,4711,1,,,,,1,4011,183966,2,,,,,,,8621,1,3594,1,3437,1,2977,1,1,17172,0,5847,1,4006,1,15554,1,,,10532,1,,,3020,1,,,4,4,4,4,4,3.9,1.66666666666667,2,,,,2,,2,2,,2,1.75
"33",9852155,5210,4,5854,3,3354,2,3577,3,3951,2,4799,3,73880,1,6535,2,5150,3,6828,4,16590,3,7497,3,15724,2,6594,1,2,12321,2,39021,5000,1,,,,,,,,,6216,2,,,5142,2,5992,1,14990,1,7722,1,4308,1,1,4598,0,5524,1,,,5233,1,2,8182,,,5502,1,9765,2,,,3,4,3,2,3,3.2,2.16666666666667,2,1,,1,2,2,2,1,,,1.625
"34",9852163,11469,4,9712,3,8660,1,4316,4,4342,1,5861,1,6291,1,4562,1,18961,,10485,4,16765,1,4192,4,10220,4,19427,1,1,6446,3,7928,,,15617,1,,,2,11745,6451,1,,,,,6472,2,5762,1,6695,1,10677,2,8524,4,1,6060,4,18959,2,,,6768,1,,,,,14978,2,,,26806,1,4,4,4,4,4,3.88888888888889,2.33333333333333,,,,,1,1,2,,2,,1.5
"35",9852194,6056,3,4600,3,5327,3,2667,3,9447,2,3978,2,4692,1,4747,1,4274,4,5219,3,3724,3,7304,2,10932,3,4680,2,3,5390,2,7902,,,,,1,10375,1,3748,6909,2,2712,1,,,4130,1,4189,1,6656,1,3849,1,8886,1,3,5162,0,,,2410,2,,,,,3014,2,,,4626,1,,,3,4,2,3,4,3.2,2.5,,2,2,,,,,2,,1,1.625
"36",9852235,5123,3,6049,2,4280,3,14573,3,3902,3,3492,3,6817,2,6994,3,3517,3,10380,2,7832,3,4901,3,6920,3,9197,2,3,5288,2,6755,,,7591,1,,,,,4223,1,,,,,5902,1,11380,1,8019,2,3472,2,5007,1,2,8690,2,,,3753,1,4485,2,,,4636,2,5244,2,,,5545,2,2,3,2,2,2,2.4,2.66666666666667,,,,,,1,1,,1,1,1
"37",9852252,2101,4,2183,4,2607,1,1558,4,2236,1,2771,1,1959,1,5627,1,1994,4,3554,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,,,,,,,,,,,,
"38",9852332,6021,2,3021,2,4077,3,3384,2,7526,3,7860,2,5755,1,4444,3,2910,3,4726,3,4463,4,3828,4,8644,3,5375,1,3,12636,2,10139,4369,1,5346,1,,,,,,,,,,,4103,1,3099,1,3651,2,2495,1,4804,1,2,2807,1,,,,,4017,1,1,3853,7925,2,,,3766,2,3177,1,2,4,2,3,2,2.5,2.83333333333333,2,,,2,,,2,1,2,1,1.5
"39",9852354,3900,3,3248,3,5660,3,2122,3,4704,3,5559,2,2530,2,3265,2,4353,4,3880,3,2449,4,5050,3,3278,2,2838,2,2,5025,2,2752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,3,2.9,2.5,,,,,,,,,,,
"40",9852376,20591,3,3362,3,5860,4,4675,3,9542,3,5694,3,6878,4,9348,2,6494,3,7894,3,10521,3,4724,4,13897,4,6801,2,3,11022,1,6234,6972,1,8314,1,,,1,6905,,,3468,1,,,,,3175,1,8966,1,9299,2,3085,1,3,6834,1,,,,,6112,2,1,3969,,,,,6632,2,6837,1,2,1,1,2,3,2.4,2.83333333333333,2,2,,2,,,1,1,2,,1.5
"41",9852384,3561,3,2517,3,4583,3,4493,3,3965,2,3533,3,3476,2,4354,2,3845,3,4861,3,3556,3,2837,3,9173,2,5947,1,2,7092,3,3420,2908,2,,,2,6175,,,4670,1,,,1,5947,,,4512,1,6913,3,10215,1,3894,1,2,3347,2,,,,,5564,2,2,12239,2721,2,,,,,3688,2,3,3,2,2,3,2.8,2.33333333333333,1,,1,1,,,1,,1,1,1
"42",9852400,4265,3,2421,2,6995,2,5141,3,4492,2,3229,3,7829,2,5798,2,3213,3,3898,3,3503,3,2243,3,4905,3,2356,3,3,5505,3,22307,4035,1,,,2,4462,2,3468,3487,2,9066,1,2,3993,4519,1,44662,1,3069,2,6091,4,4383,2,3,4566,5,,,,,,,,,,,9827,2,,,,,3,3,3,2,3,2.8,3,2,2,1,,,1,,,,,1.625
"43",9852434,7390,3,15535,2,34248,3,7667,2,5186,3,2720,3,9765,2,8057,3,7593,3,16184,2,4425,3,2677,3,5321,3,3912,3,3,4294,3,14804,,,,,2,4047,1,4749,6290,2,4968,1,,,,,10063,2,4944,2,6255,1,4402,1,2,4241,2,,,3121,2,,,,,2825,2,3321,1,7291,1,,,2,3,2,2,2,2.3,3,,2,1,,,2,,2,,1,1.625
"44",9852437,3240,3,2628,1,3952,3,2688,2,3343,4,3828,4,4299,3,3452,3,3628,3,4541,3,5725,3,2356,3,4077,3,3432,4,3,3230,2,5722,3685,2,,,2,2555,,,3331,1,,,,,,,3009,3,3770,4,3407,4,8088,4,4,3065,11,2410,1,3608,2,,,,,2235,2,,,2742,1,2527,2,1,2,2,1,2,2,3,1,,1,,2,,,2,1,1,1.375
"45",9852473,6294,3,5658,2,6249,4,4891,3,7531,4,6954,3,6691,3,11590,2,4207,3,7705,3,4373,3,3391,4,7391,3,5683,3,4,7375,2,11158,7754,1,,,1,7396,1,6219,,,,,2,5155,,,5955,1,15092,3,6542,2,3593,2,2,5330,4,4138,1,,,,,,,3563,2,,,5677,1,4742,1,1,2,1,2,3,2.3,3.16666666666667,2,,2,,2,,,2,2,1,1.75
"46",9852487,2816,3,1961,3,2456,3,1871,3,5325,2,2287,3,8764,1,3974,1,4883,3,8116,3,3480,2,4380,3,5702,3,2524,2,3,3976,3,3773,,,4505,2,,,1,2545,7452,1,3513,2,,,,,3481,1,3715,2,5022,1,5281,2,3,4426,2,2671,1,,,,,,,3142,2,4156,1,4178,2,,,3,4,2,2,4,3,2.66666666666667,,1,,,2,2,,1,,1,1.375
"47",9852503,3568,3,2960,3,3266,3,3514,1,4533,3,4781,3,4147,3,4926,2,4361,2,6499,4,9468,3,2152,4,8080,2,8442,3,3,8552,4,4100,,,5970,2,,,1,3547,3633,2,2265,1,2,2803,8182,1,2294,1,3596,1,10442,1,4978,1,2,4083,0,,,,,,,2,4900,,,,,,,6012,2,2,2,2,2,3,2.4,3.16666666666667,,2,,1,,,,,1,,1.5
"48",9852508,9487,3,4977,3,27386,2,5561,3,5213,2,4499,3,7834,2,32155,2,5429,3,8533,3,10604,2,8041,3,19975,2,6166,3,2,17085,2,9297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,2,3,2.9,2.33333333333333,,,,,,,,,,,
"49",9852513,7470,3,2980,3,13948,3,3974,3,6621,1,4803,2,6833,2,5336,1,7325,4,16468,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,3,4,3.2,,,,,,,,,,,,
"50",9852563,6848,3,10544,3,9168,2,4223,3,7334,3,7711,3,12653,1,7074,2,4218,3,7641,3,9177,3,4334,3,11886,3,7170,3,3,5833,2,6354,,,,,2,6571,1,4304,,,4308,2,,,,,5841,1,5123,1,8669,1,6514,1,1,5568,0,,,3691,1,8826,2,2,8137,2434,2,,,,,4822,2,2,4,3,2,3,2.9,2.83333333333333,,1,1,1,,,1,,1,1,1
"51",9852569,5124,3,6175,3,4176,2,3641,3,5290,2,4317,2,4234,4,7913,1,3628,4,8919,3,7525,3,3006,3,8149,2,4644,2,2,7519,2,4671,5878,1,,,,,,,3690,1,5216,1,,,,,5598,1,5294,1,8759,1,8166,2,1,4004,1,3678,1,,,6267,1,2,6695,4338,2,,,5212,1,,,3,1,3,3,4,3,2.33333333333333,2,2,,1,2,,2,2,,1,1.625
"52",9852570,10366,3,8027,3,2756,2,82677,3,4897,2,10314,2,17860,2,10237,2,6931,3,16715,3,9093,2,2952,2,9675,2,3508,2,2,13447,3,16155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,2.16666666666667,,,,,,,,,,,
"53",9852636,5376,4,3825,3,9064,3,2595,3,5026,2,3520,2,4346,2,7695,2,6642,4,6666,4,6377,4,4359,2,7968,2,4570,2,2,9450,2,6175,6882,2,,,1,11499,,,,,,,,6130,6139,1,6090,1,3067,1,5922,1,7576,1,3,6473,0,,,,,7753,,,,,,7343,1,6227,2,11315,2,3,3,2,3,3,3.2,2.33333333333333,1,,2,,,2,,1,1,,1.33333333333333
"54",9852763,7852,1,11007,3,3324,3,5045,3,6778,3,3022,3,4666,2,6576,2,3173,3,4517,2,6644,3,3456,3,17225,2,3493,3,3,8341,4,4759,,,9080,1,,,,,17815,1,7932,2,,,,,5362,1,6200,2,4445,1,9373,2,4,7330,2,4027,1,3499,2,6807,1,,,,,7901,1,5319,1,,,2,3,2,2,3,2.4,3,,1,,,2,2,2,2,,,1.625
"55",9852779,6082,3,5896,3,3200,2,3086,3,4833,2,3900,2,4266,2,4150,2,3734,3,6635,3,12480,3,9733,2,18666,2,6603,2,2,4735,2,5482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,2.16666666666667,,,,,,,,,,,
"56",9852818,10881,3,11173,3,13080,3,185207,3,10555,2,4834,3,14346,2,6886,2,33265,3,9397,3,10482,3,4036,4,7062,3,14896,3,4,7660,2,7949,,,,,2,6695,,,,,4407,1,2,10201,7238,1,11436,1,5860,1,6327,2,7259,1,1,9834,1,10042,2,,,11519,1,1,11890,,,,,9358,2,,,3,3,2,2,3,2.8,3.16666666666667,,2,1,2,1,,2,1,,,1.5
"57",9852866,4225,4,3551,3,4150,1,5234,3,4970,3,3321,3,3337,1,5975,1,3194,4,5463,4,2876,3,2367,3,5940,4,4348,2,3,13481,3,3218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,2,4,3.4,3,,,,,,,,,,,
"58",9852877,3268,3,4146,3,2952,2,2085,3,5258,3,3544,2,2971,2,8607,2,2346,3,2916,3,5053,3,2342,3,4336,3,3012,2,2,3379,3,3173,9168,2,4785,1,,,2,3286,,,4554,2,1,10456,,,5455,1,3726,2,4466,2,3155,1,2,5474,2,,,3146,2,,,,,3013,1,,,5584,2,,,2,3,3,3,3,2.9,2.66666666666667,1,1,,,,,,1,,2,1.375
"59",9852935,3293,3,4951,3,2765,3,2913,3,3074,3,3899,2,5278,3,4313,2,2686,3,3932,3,5686,4,2235,4,4637,3,3784,3,3,4105,1,5961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,3,2.7,3,,,,,,,,,,,
"60",9852973,4439,3,4168,3,25546,3,8057,3,10021,2,5076,3,4152,2,7072,2,5752,4,27144,1,4532,3,3729,3,8661,2,22599,2,3,4163,2,5977,,,6246,1,,,1,4125,,,,,,,5410,1,4052,1,13152,1,4654,1,11112,2,2,6259,1,6125,2,4654,2,5851,2,2,5272,,,,,,,11481,1,3,3,2,2,3,2.7,2.5,,,,1,1,,1,,2,,1.25
"61",9853014,4884,3,4166,3,8185,3,3754,3,3004,1,4667,2,5301,2,3873,2,3555,3,4233,3,6705,3,4516,3,10986,2,6094,3,3,12928,2,6641,5067,1,,,,,,,7592,2,,,2,5877,5075,1,3737,1,8025,1,2007,1,40372,1,1,2879,0,,,2872,1,2493,1,,,,,3044,1,9170,2,,,4,3,2,3,3,3,2.66666666666667,2,,,,,2,2,1,,,1.625
"62",9853046,2719,2,3754,3,3858,3,2033,3,2305,2,2266,2,1791,2,2903,2,1642,3,2555,3,2497,3,2907,3,2880,3,2951,3,3,2567,3,2819,3179,2,,,,,1,2324,2098,1,,,1,3622,2667,1,2691,1,6394,3,5318,1,2211,3,4,2683,4,,,2362,2,,,1,3951,,,,,,,2442,2,3,3,2,3,3,2.8,3,1,,,2,,,,,1,,1.25
"63",9853062,3567,4,6401,4,3049,1,4167,4,4454,1,7692,1,5142,1,6278,1,5600,4,10097,4,9448,3,24758,2,8808,2,5100,2,1,6375,1,6361,,,8504,1,2,6532,1,3513,,,,,,,7083,1,4479,1,3246,1,12898,1,4372,1,1,6005,0,4201,1,5538,1,4639,1,2,4538,,,,,,,,,4,4,4,4,4,4,1.83333333333333,,,1,1,2,,2,,,,1.25
"64",9853085,4431,3,2916,3,4370,1,4104,3,4580,1,3947,1,4744,1,3575,1,4195,4,6197,4,17856,3,2970,2,8891,2,4879,2,2,4009,2,8416,5037,1,119511,1,,,,,,,4302,2,,,3713,1,3343,1,7525,1,5780,1,2493,1,3,7322,0,3998,1,3089,2,3651,1,,,,,8030,1,,,,,4,4,4,4,4,3.7,2.16666666666667,2,1,,,2,2,2,,,,1.625
