"","session_id","blockOrder"
"301",9863823,"Low Trait First"
"302",9863839,"Low Trait First"
"303",9863898,"High Trait First"
"304",9863926,"High Trait First"
"305",9863942,"Low Trait First"
"306",9863978,"Low Trait First"
"307",9864060,"Low Trait First"
"308",9864187,"Low Trait First"
"309",9864206,"Low Trait First"
"310",9864210,"Low Trait First"
"311",9864319,"Low Trait First"
"312",9864397,"Low Trait First"
"313",9864421,"High Trait First"
"314",9864484,"Low Trait First"
"315",9864538,"Low Trait First"
"316",9864597,"Low Trait First"
"317",9864707,"High Trait First"
"318",9864729,"Low Trait First"
"319",9864731,"Low Trait First"
"320",9864799,"Low Trait First"
"321",9864867,"Low Trait First"
"322",9864957,"High Trait First"
"323",9864986,"Low Trait First"
"324",9865012,"High Trait First"
"325",9865110,"High Trait First"
"326",9865116,"High Trait First"
"327",9865128,"High Trait First"
"328",9865131,"High Trait First"
"329",9865159,"High Trait First"
"330",9865318,"Low Trait First"
"331",9865366,"High Trait First"
"332",9865367,"Low Trait First"
"333",9865455,"Low Trait First"
"334",9865512,"High Trait First"
"335",9865515,"Low Trait First"
"336",9865525,"High Trait First"
"337",9865604,"Low Trait First"
"338",9865609,"Low Trait First"
"339",9865612,"Low Trait First"
"340",9865651,"High Trait First"
"341",9865652,"Low Trait First"
"342",9865672,"Low Trait First"
"343",9865712,"High Trait First"
"344",9865745,"High Trait First"
"345",9865940,"Low Trait First"
"346",9865953,"Low Trait First"
"347",9865992,"Low Trait First"
"348",9866036,"High Trait First"
"349",9866079,"Low Trait First"
"350",9866085,"High Trait First"
"351",9866131,"Low Trait First"
"352",9866187,"Low Trait First"
"353",9866213,"High Trait First"
"354",9866231,"Low Trait First"
"355",9866355,"Low Trait First"
"356",9866382,"Low Trait First"
"357",9866388,"High Trait First"
"358",9866482,"High Trait First"
"359",9866504,"High Trait First"
"360",9866505,"Low Trait First"
"361",9866549,"High Trait First"
"362",9866570,"Low Trait First"
"363",9866597,"Low Trait First"
"364",9866760,"Low Trait First"
"365",9867040,"High Trait First"
"366",9867256,"High Trait First"
"367",9867354,"Low Trait First"
"368",9867369,"Low Trait First"
"369",9867371,"High Trait First"
"370",9867455,"Low Trait First"
"371",9867497,"High Trait First"
"372",9867547,"High Trait First"
"373",9867593,"Low Trait First"
"374",9867636,"High Trait First"
"375",9867637,"High Trait First"
"376",9867688,"Low Trait First"
"377",9867737,"Low Trait First"
"378",9867742,"High Trait First"
"379",9867768,"High Trait First"
"380",9867774,"Low Trait First"
"381",9867787,"High Trait First"
"382",9867801,"Low Trait First"
"383",9867865,"Low Trait First"
"384",9867922,"Low Trait First"
"385",9868017,"High Trait First"
"386",9868052,"High Trait First"
"387",9868107,"Low Trait First"
"388",9868129,"Low Trait First"
"389",9868200,"High Trait First"
"390",9868245,"Low Trait First"
"391",9868343,"High Trait First"
"392",9868368,"Low Trait First"
"393",9868370,"Low Trait First"
"394",9868386,"High Trait First"
"395",9868391,"High Trait First"
"396",9868437,"Low Trait First"
"397",9868488,"Low Trait First"
"398",9868500,"High Trait First"
"399",9868563,"High Trait First"
"400",9868591,"High Trait First"
"401",9868625,"Low Trait First"
"402",9868648,"High Trait First"
"403",9868657,"Low Trait First"
"404",9868736,"High Trait First"
"405",9868751,"High Trait First"
"406",9868778,"Low Trait First"
"407",9868812,"Low Trait First"
"408",9868835,"Low Trait First"
"409",9868871,"Low Trait First"
"410",9868926,"High Trait First"
"411",9868936,"High Trait First"
"412",9868970,"High Trait First"
"413",9868978,"Low Trait First"
"414",9869055,"Low Trait First"
"415",9869062,"Low Trait First"
"416",9869071,"High Trait First"
"417",9869073,"Low Trait First"
"418",9869123,"Low Trait First"
"419",9869133,"High Trait First"
"420",9869173,"Low Trait First"
"421",9869346,"Low Trait First"
"422",9869348,"Low Trait First"
"423",9869388,"Low Trait First"
"424",9869416,"High Trait First"
"425",9869432,"High Trait First"
"426",9869444,"High Trait First"
"427",9869549,"High Trait First"
"428",9869564,"Low Trait First"
"429",9869651,"Low Trait First"
"430",9869662,"Low Trait First"
"431",9869664,"High Trait First"
"432",9869709,"Low Trait First"
"433",9869768,"Low Trait First"
"434",9869803,"Low Trait First"
"435",9869817,"High Trait First"
"436",9869837,"Low Trait First"
"437",9869890,"High Trait First"
"438",9869922,"High Trait First"
"439",9869942,"High Trait First"
"440",9870003,"Low Trait First"
"441",9870121,"High Trait First"
"442",9870153,"High Trait First"
"443",9870213,"Low Trait First"
"444",9870219,"High Trait First"
"445",9870223,"Low Trait First"
"446",9870224,"Low Trait First"
"447",9870226,"Low Trait First"
"448",9870230,"Low Trait First"
"449",9870270,"Low Trait First"
"450",9870293,"Low Trait First"
"451",9870318,"Low Trait First"
"452",9870424,"High Trait First"
"453",9870500,"Low Trait First"
"454",9870502,"High Trait First"
"455",9870531,"Low Trait First"
"456",9870597,"Low Trait First"
"457",9870648,"High Trait First"
"458",9870683,"High Trait First"
"459",9870721,"Low Trait First"
"460",9870819,"Low Trait First"
"461",9870847,"Low Trait First"
"462",9870849,"Low Trait First"
"463",9870880,"Low Trait First"
"464",9870907,"Low Trait First"
"465",9870924,"Low Trait First"
"466",9870965,"Low Trait First"
"467",9870995,"High Trait First"
"468",9871056,"Low Trait First"
"469",9871237,"High Trait First"
"470",9871283,"Low Trait First"
"471",9871290,"Low Trait First"
"472",9871379,"High Trait First"
"473",9871407,"High Trait First"
"474",9871421,"Low Trait First"
"475",9871480,"High Trait First"
"476",9871486,"High Trait First"
"477",9871495,"Low Trait First"
"478",9871527,"Low Trait First"
"479",9871570,"High Trait First"
"480",9871603,"High Trait First"
"481",9871819,"Low Trait First"
"482",9871889,"Low Trait First"
"483",9871943,"Low Trait First"
"484",9872094,"High Trait First"
"485",9872116,"High Trait First"
"486",9872236,"High Trait First"
"487",9872244,"Low Trait First"
"488",9872255,"High Trait First"
"489",9872256,"High Trait First"
"490",9872388,"High Trait First"
"491",9872391,"Low Trait First"
"492",9872394,"Low Trait First"
"493",9872398,"High Trait First"
"494",9872538,"High Trait First"
"495",9872808,"High Trait First"
"496",9872825,"Low Trait First"
"497",9872875,"High Trait First"
"498",9872884,"Low Trait First"
"499",9872965,"Low Trait First"
"500",9873120,"Low Trait First"
"501",9873230,"Low Trait First"
"502",9873272,"Low Trait First"
"503",9873603,"High Trait First"
